Pointer #,Speaker,Japanese
24,Dorman,すべての人々を助けてほしい
24,Dorman,といっても過言ではない。
24,Dorman,東の地方にある砂漠は、日ましに広がり人々の生活を
24,Dorman,おびやかしている。いずれ、この街のまわりも砂に
24,Dorman,うもれてしまうだろう。
24,Dorman,そこで、きみにカをかしてほしいのだよ。
24,Dorman,きみも、すでに幻の都の伝説は聞いているだろう。
24,Dorman,言い伝えによれば、幻の都にあるのは、
24,Dorman,黄金ばかりではないのだよ。
24,Dorman,幻の都には、すばらしい古代錬金術が眠っているのだ。
24,Dorman,そのカさえあれば、砂漠が広がっていくのを
24,Dorman,とめられるはずだ
24,Dorman,人々を助けるためにぜひとも、
24,Dorman,きみの力をかしてもらいたい。
24,Dorman,幻の都をさがし、そこに眠る古代錬金術を
24,Dorman,手に入れたいのだ。
24,Dorman,どうだろうアドルくん。
24,Dorman,引き受けてくれないかね
24,Dorman,引き受けますか
24,Dorman,引き受ける
24,Dorman,少し考える
25,Dorman,ありがとうアドルくん
25,Dorman,では、きみに見てもらいたいものがある。
26,Dorman,これは[YELLOW]「風の結晶」[WHITE]といってね。
26,Dorman,錬金術に使われるクリスタルだ。
26,Dorman,ここからずっと東のほうにある、かつてケフィンが
26,Dorman,あったといわれる[GREEN]ケフィン廃都[WHITE]から見つかったものだ。
26,Dorman,君の前任者、スタンくんが
26,Dorman,年前に見つけてくれた。
26,Dorman,北西にある[GREEN]フォレスタ村[WHITE]には結晶にまつわる昔話が
26,Dorman,残っていてね。
26,Dorman,結晶は、はるかかなたにある黄金にかがやく国から
26,Dorman,来た者によってもたらされたとある。
26,Dorman,黄金にかがやく国が、
26,Dorman,すなわち、幻の都のことだとすれば
26,Dorman,。
26,Dorman,これこそ伝説が真実であるあかしに、
26,Dorman,ちがいない
26,Dorman,わたしも、話に聞いただけだが、このような結晶は、
26,Dorman,まだ、いくつかあるらしい。
26,Dorman,この結晶は、あきらかに古代錬金術で
26,Dorman,造られたものだ。
26,Dorman,残るほかの結晶も見つけて調べることで、
26,Dorman,幻の都を探す手がかりになると思うのだ。
26,Dorman,君には北アフロカの各地に眠る、
26,Dorman,残りの結晶をすべて見つけ出してほしい。
26,Dorman,大変な冒険となるだろう。
26,Dorman,だがきみならやりとげてくれると信じているよ。
26,Dorman,さあ、これで装備をととのえておきたまえ。
26,Dorman,よろしくたのんだよ、アドルくん。
26,Dorman,[BLUE]ドーマンから、
26,Dorman,をもらった
26,Dorman,[WHITE]
27,Dorman,そうか
27,Dorman,それは、残念だ。
28,Dorman,調査の依頼、考えてくれたかね
28,Dorman,ぜひ、きみに引き受けてもらいたいのだがね。
28,Dorman,引き受けますか
28,Dorman,引き受ける
28,Dorman,少し考える
29,Dorman,調査の方はよろしく頼むよ、アドルくん。
30,Dorman,や
30,Dorman,アドルくん、結晶探索の調子はどうかね
30,Dorman,むむぅ。
30,Dorman,そうか。
30,Dorman,では、引き続き頼むよ。アドルくん。
30,Dorman,私はきみの活躍に期待している。
30,Dorman,がんばってくれたまえ。
33,Dorman,やあ、アドルくん。
33,Dorman,きみの元気そうな顔を見られて安心したよ。
33,Dorman,それで、結晶探索のほうは
33,Dorman,どうなったかね
33,Dorman,[BLUE]アドルは水の結晶をイブール一家に
33,Dorman,盗られてしまったことを話した。[WHITE]
33,Dorman,むむぅ。そうか。
33,Dorman,それは
33,Dorman,残念だ。
33,Dorman,でも、安心したまえ。街中に指名手配をかければ、
33,Dorman,やつらをつかまえるのは時間の問題だ。
33,Dorman,あんな盗賊一味、気にすることはない。
33,Dorman,水の結晶のことは、
33,Dorman,この私にまかせておいてくれたまえ。
33,Dorman,それよりアドルくんには引き続き、
33,Dorman,残りの結晶の探索をたのみたい。
33,Dorman,それにはまず、スタンくんのたどった足あとを
33,Dorman,追いかけるのがよいと思うのだ。
33,Dorman,彼は風の結晶しか手に入れられなかったが、
33,Dorman,その他の結晶についてもかなりの調査をおこなっていた
33,Dorman,ようだからね。
33,Dorman,彼の今までの調査記録を手に入れられれば、結晶探しは
33,Dorman,とても楽になるはず。
33,Dorman,では、頼むよ。アドルくん。
33,Dorman,私はきみの活躍に期待している。
33,Dorman,がんばってくれたまえ。
34,Dorman,。
34,Dorman,ふふん。
34,Dorman,本当に期待しているよ、アドルくん。
34,Rizze,ドーマン様。荷を運ぶ用意ができました。
34,Rizze,今夜中にはフェルテのほうへ出発できます。
34,Dorman,ご苦労。では、悪いが警護のほう、しっかりと頼むよ。
34,Dorman,私も君と君の配下がついていてくれれば心強い。
34,Rizze,。
34,Rizze,あの赤毛に、ずいぶん入れこんでいるようですね。
34,Dorman,彼は有能だよ。利用できるものは何でも利用せねばね。
34,Rizze,しかし、しょせんは旅の男。どこまで信用できるか
34,Rizze,わかりません。そんな人間にドーマン様の大望を
34,Rizze,かけてよいものかと。
34,Dorman,だいじょうぶ。そのために、きみにも動いてもらったで
34,Dorman,はないか。例の盗賊どもにも、結晶を探させて
34,Dorman,いるのだろう
34,Dorman,さあ、それより積荷のほう、しっかりと頼むよ。
34,Dorman,ふふふっ。まさか砂漠の野盗たちがサンドリアの親衛隊
34,Dorman,と同じとは誰も思うまい。
34,Dorman,彼らは私が育て上げた精鋭部隊。ケフィンへの道が
34,Dorman,開かれたとき、絶対に必要な戦力だ。
34,Dorman,そのためにも、物資である積荷の護衛、しっかりと
34,Dorman,頼むよ。まあ、きみたちに運んでもらえるから私も
34,Dorman,安心しているがね。
34,Rizze,。
34,Rizze,では、いってまいります。儀式の準備も
34,Rizze,とどこおりなく進めてありますので。
34,Dorman,うむ。くれぐれも頼んだよ、リジェくん。
36,Dorman,お待ちくださいアドル様。
36,Dorman,アドル様に渡しておくものがございます。
36,Dorman,[BLUE]そう言って、執事が光り輝く
36,Dorman,小さな石のようなものを渡してきた。[WHITE]
36,Dorman,これは[YELLOW]エレメンタル[WHITE]というものです。
36,Dorman,これからの旅に役立つだろうと、
36,Dorman,ドーマン様よりアドル様に渡すよう命じられました。
36,Dorman,どうぞお持ちください。
47,Dogi,アドル様ですね
47,Dogi,ツエットから話はうかがっております。
47,Dogi,ドーマン様がお待ちです。
47,Dogi,[RED]二階、左側に上がって
47,Dogi,一番目の部屋へお入りください。[WHITE]
48,Dogi,ドーマン様がお待ちです。
48,Dogi,[RED]二階、左側に上がって
48,Dogi,一番目の部屋へお入りください。[WHITE]
49,Dogi,おや
49,Dogi,アドル様、装備の方は
49,Dogi,いかがなさいましたか
49,Dogi,見たところ、
49,Dogi,ドーマン様から頂いた支度金も
49,Dogi,使われたご様子
49,Dogi,。
49,Dogi,ふむ
49,Dogi,。
49,Dogi,これは私が、昔使っていたものですが、
49,Dogi,よろしければお使いください。
49,Dogi,[BLUE]ドーマンの執事から、ロングソードをもらった
49,Dogi,[WHITE]
50,Dogi,気を付けていってらっしゃいませ、
50,Dogi,アドル様。
51,Dogi,アドル様、調査の進みはいかがでございますか
51,Dogi,ドーマン様が調査の報告をお待ちです。
52,Dogi,お疲れ様です、アドル様。
52,Dogi,ドーマン様は、只今お出かけになられておりまして、
52,Dogi,館にはおりません。
52,Dogi,ドーマン様に御用でしたら、
52,Dogi,日を改めてまたおいでください。
53,Dogi,ここは、ドーマン様の屋敷である
53,Dogi,用の無いものを通すわけには行かない。
53,Dogi,早々に立ち去りなさい。
54,Dogi,そこの冒険者の方。
54,Dogi,このドーマン様の屋敷に、
54,Dogi,一体どのような御用で
54,Dogi,申し訳ありませんが、
54,Dogi,勝手に入られては困ります。
54,Dogi,お引取り願います。
55,Dogi,[BLUE]鍵がかかっている
55,Dogi,。[WHITE]
55,Dogi,[BLUE]留守のようだ。[WHITE]
63,Dogi,そこの赤毛の若者
63,Dogi,止まりなさい
63,Dogi,君がアドルだな
63,Dogi,ドーマン氏から、
63,Dogi,君が街の外へ出られるよう要請を受けている。
63,Dogi,しかし、最近街の外には凶暴な魔物が増えていて、
63,Dogi,武器も持たずに出歩くのは危険だ。
63,Dogi,外に出たければ、
63,Dogi,武器を装備してからにしなさい。
64,Dogi,まだ装備を整えていないようだな。
64,Dogi,外に出たければ、武器を装備してからにしなさい。
65,Dogi,そこの赤毛の若者
65,Dogi,止まりなさい
65,Dogi,君がアドルだな
65,Dogi,ドーマン氏から、
65,Dogi,君が街の外へ出られるよう要請を受けている。
65,Dogi,見たところ、ちゃんと装備を整えているようだな。
65,Dogi,外は凶暴な魔物が襲ってくる。
65,Dogi,十分気をつけて行くことだ。
66,Dogi,見たところ、ちゃんと装備を整えているようだな。
66,Dogi,外は凶暴な魔物が襲ってくる。
66,Dogi,十分気をつけて行くことだ。
67,Dogi,そこの赤毛の旅行者
67,Dogi,止まりなさい
67,Dogi,現在、サンドリア近辺にて出没している
67,Dogi,盗賊や遺跡荒らしの取り締まりのために、
67,Dogi,街の出入りを制限している。
67,Dogi,調査が終了するまで、
67,Dogi,街にとどまってもらおうか。
67,Dogi,わかったら、戻りたまえ
68,Dogi,何度来てもだめだ
68,Dogi,査が終了するまで、
68,Dogi,街にとどまってもらおう。
69,Dogi,[BLUE]橋が落ちている
69,Dogi,。[WHITE]
69,Dogi,[BLUE]向こう側へは渡れそうに無い。[WHITE]
70,Dogi,[BLUE]留守のようだ。
70,Dogi,扉には鍵がかかっていて、中には入れない
70,Dogi,。[WHITE]
74,Dogi,あら、めずらしい。
74,Dogi,お客さまかしら
74,Dogi,。
74,Wilee,道にまよわれたわけでもなさそうですね。
74,Wilee,何もありませんが、
74,Wilee,よろしければ中へどうぞ。
75,Wilee,以前は、この付近も冒険者を
75,Wilee,多く見かけたものですが。
75,Wilee,このごろは東の廃都の方へばかり行っているのか、
75,Wilee,あまり見かけませんね。
75,Wilee,あら
75,Wilee,そういえば、まだお名前も
75,Wilee,聞いていませんでしたね。
75,Wilee,[BLUE]アドルは名前を名乗った。[WHITE]
75,Wilee,そう
75,Wilee,アドルさんというの。
75,Wilee,勇気とやさしさを感じる良いひびきの名前ですね。
75,Massea,私の名前は
75,Massea,マーシャ[WHITE]。
75,Massea,育った家をはなれたくなくて、
75,Massea,ここでずっとひとりで暮らしています。
75,Massea,[BLUE]
75,Massea,マーシャ
75,Massea,[WHITE]
75,Massea,[BLUE]アドルは女性の名前を聞いて、
75,Massea,サンドリアでの頼まれごとを思い出した。[WHITE]
75,Massea,[BLUE]アドルは、[YELLOW]手紙と薬品の材料[BLUE]を、
75,Massea,マーシャに渡した。[WHITE]
75,Massea,あら、これはもしかして
75,Massea,。
75,Massea,そう、あなたはサンドリアの街からの
75,Massea,お使いの方でしたのね。
75,Massea,わかりました。材料はたしかにいただきました。
75,Massea,では、これはあなたへのお礼です。
75,Massea,届けてくださって、わざわざありがとう。
75,Massea,でも、お見うけしたところ、
75,Massea,アドルさんはサンドリアの方ではありませんわよね。
75,Massea,どちらからいらしたんですか
75,Massea,[BLUE]アドルは自分が冒険家であることを話した。[WHITE]
75,Massea,そう、あなたもやはり冒険者なの。
75,Massea,でも、幻の都を探そうとして
75,Massea,多くの冒険者が姿を消しているわ。
75,Massea,危険をわかった上だと思いますが
75,Massea,くれぐれも気をつけて下さいね。
75,Massea,私が知っていることでよければ、
75,Massea,なんでも聞いてください。
75,Massea,何かの手助けになるかもしれません。
76,Massea,何を聞きますか
76,Massea,ケフィンのこと
76,Massea,スタンのこと
76,Massea,錬金術のこと
76,Massea,より詳しいこと
77,Massea,もともとは、この付近すべてがケフィン王国の領地
77,Massea,だったようです。
77,Massea,でも歴史が伝えるとおり、ケフィンはすでに滅んで
77,Massea,しまった王国なのです。
77,Massea,今では砂漠の東のむこうに、廃都とよばれる遺跡が
77,Massea,残っているぐらいですね。
77,Massea,幻の都の伝説とは、そのケフィン王国の一部が、
77,Massea,今も昔の姿のままどこかに残っているというものです。
78,Massea,スタンは、
78,Massea,年前に姿を消したそうです。
78,Massea,彼は、幻の都を探していました。
78,Massea,いまは無事でいるかどうかもわからず
78,Massea,とても心配です。
78,Massea,スタンが最後に向かった先は
78,Massea,ケフィンの廃都のようですね。
78,Massea,そういえば、スタンは「この地のどこかに
78,Massea,つの結晶が
78,Massea,あり、これが幻の都を探す手がかりになるだろう」
78,Massea,と言っていました。
78,Massea,何か手がかりになりますでしょうか
79,Massea,言い伝えによれば、ケフィン王国は錬金術の力で
79,Massea,さかえていたそうです。
79,Massea,錬金術とは、すべての元になる
79,Massea,つの元素を
79,Massea,組み合わせ、新しい力を生み出すことです。
79,Massea,「地」、「水」、「炎」、「風」。
79,Massea,これらの力を強く宿した結晶が、この付近の土地に、
79,Massea,今も眠っているのです。
79,Massea,え
79,Massea,いまも錬金術があるのか
79,Massea,ですか。
79,Massea,。
79,Massea,どうでしょう。
79,Massea,もう失われた力とされていますね。
79,Massea,ただ
79,Massea,。
79,Massea,この北アフロカの多くの人々は、錬金術がいつの日か
79,Massea,復活し、自分たちを導いてくれると
79,Massea,信じているようです。
79,Massea,言い伝えに聞くケフィン王国のように。
81,Massea,アドルさんも幻の都や古代錬金術に関心が
81,Massea,あるようですね。
81,Massea,正しい判断です。
81,Massea,もし今後ケフィンや結晶を探していくのならば、
81,Massea,あなたは錬金術についてよく知るべきです。
81,Massea,錬金術を理解していないのならば、
81,Massea,ケフィンにたどり着くことも難しいでしょう。
81,Massea,。
81,Massea,アドルさん。
81,Massea,錬金術について、もっとくわしく知りたいですか
81,Massea,錬金術のくわしい話を聞きますか
81,Massea,はい
81,Massea,いいえ
82,Massea,。
82,Massea,どうやら、本気のようですね。
82,Massea,では、その決意と実力をみせてください。
82,Massea,この先をすこし進んだ[GREEN]メルセゲラの森[WHITE]の中に、
82,Massea,錬金術を使うという男の方が住んでいます。
82,Massea,このあたりに住む街の人たちから、大金を要求しては
82,Massea,妖しげな石を売っているそうです。
82,Massea,その人にあって錬金術について聞いてみてください。
82,Massea,もしアドルさんに錬金術の素質があれば、錬金術とは
82,Massea,なにかわかるはずです。
82,Massea,もし錬金術とは何か、わかったら、
82,Massea,また私のところに戻ってきてください。
82,Massea,その時には、真実をお話しましょう。
83,Massea,そうですか
83,Massea,。
83,Massea,でも、それではケフィンを探すことも、
83,Massea,結晶を集めることもかないませんよ。
89,Massea,アドルさん。
89,Massea,錬金術について、もっとくわしく知りたいですか
89,Massea,錬金術のくわしい話を聞きますか
89,Massea,はい
89,Massea,いいえ
90,Massea,あら、アドルさん。
90,Massea,いらっしゃい。
90,Massea,今話せる範囲で、
90,Massea,私の知っていることでしたら、
90,Massea,何でも聞いてください。
91,Massea,何を聞きますか
91,Massea,ケフィンのこと
91,Massea,スタンのこと
91,Massea,錬金術のこと
91,Massea,何も聞かない
92,Massea,錬金術とは何か、わかりましたか
92,Massea,まだのようですね。
92,Massea,この先の[GREEN]メルセゲラの森[WHITE]に住む男を
92,Massea,訪ねてみてください。
93,Massea,。
93,Massea,どうやら本当の錬金術は失われてしまっていると
93,Massea,思っているようですね。
93,Massea,でも、それはちがいます。
93,Massea,錬金術は実在しますし、いまなお伝わっているのです。
93,Massea,どこに伝わっているのか
93,Massea,ですか
93,Massea,いま、お見せしましょう。
93,Massea,アドルさんは、[YELLOW]エレメンタル[WHITE]をいくつか
93,Massea,持っているようですね。
93,Massea,錬金魔法について
93,Massea,錬金魔法は[YELLOW]『錬石』[WHITE]を剣にセットして使用します。
93,Massea,錬石をセットするには、メニューから錬石を選択して
93,Massea,セットしたい錬石を選んでください。
93,Massea,錬石をセットすると、
93,Massea,画面下に錬石アイコンが表示されます。
93,Massea,錬石アイコンに色がついていないときは
93,Massea,錬金魔法のエネルギーがチャージされて
93,Massea,いない状態で、魔法が撃てません。
93,Massea,錬金魔法のエネルギーは自動でチャージされ、
93,Massea,錬石アイコンは時間の経過とともに
93,Massea,色がついていきます。
93,Massea,敵を攻撃したり、敵を倒したりすると
93,Massea,錬石アイコンに色がつくまでの
93,Massea,時間が短くなります。
93,Massea,錬石アイコンに色がついているときは、
93,Massea,[RED]
93,Massea,[WHITE]ボタンで魔法を撃つことができます。
93,Massea,複数の錬石がセットされている場合は、
93,Massea,色のついている分だけ
93,Massea,連続で魔法を撃つことができます。
93,Massea,同じ種類の錬石が
93,Massea,つ以上連続して
93,Massea,セットされていると、
93,Massea,錬石複数個分のエネルギーを同時に使って
93,Massea,より強力な魔法を撃つことができます。
93,Massea,同じ種類の錬石は
93,Massea,つまで連続で
93,Massea,セットすることができます。
93,Massea,錬石はマーシャに作成を依頼することで
93,Massea,手に入りますが、作成には材料が必要です。
93,Massea,敵を倒すと、たまに[YELLOW]『エレメンタル』[WHITE]を
93,Massea,落とすことがあります。
93,Massea,エレメンタルのうち、色のついたものが
93,Massea,錬石の材料となります。
93,Massea,エレメンタルを集めたら、
93,Massea,マーシャに作成を依頼します。
93,Massea,作成したい錬石を選択すると、
93,Massea,画面中央右側に、作成後のエレメンタルの数が
93,Massea,表示されます。
93,Massea,赤い数字はその錬石を作成するのに
93,Massea,足りないエレメンタルの数です。
93,Massea,必要なエレメンタルがすべて足りていると、
93,Massea,錬石を作成することができます。
93,Massea,敵の弱点を突く魔法や、
93,Massea,組み合わせやすい魔法、
93,Massea,剣攻撃との連携などを考えて、
93,Massea,魔法をうまく活用してください。
93,Massea,[BLUE]マーシャから、ヒートボールをもらった。[WHITE]
93,Massea,アドルさんはこれからどちらに向かうか
93,Massea,決まっていらっしゃるのですか
93,Massea,でしたら、ここからメルセゲラの森の
93,Massea,先にある[GREEN]フォレスタの村[WHITE]へ
93,Massea,向かってはどうでしょう。
93,Massea,じつは、スタンはフォレスタ村の
93,Massea,[GREEN]ネード洞窟[WHITE]に結晶が
93,Massea,あるといっていたのです。
93,Massea,アドルさんも、そこにいってみてはいかがでしょうか。
93,Massea,何か手がかりが残っているかもしれません。
94,Massea,あら、アドルさん。
94,Massea,いらっしゃい。
94,Massea,今日は何のご用ですか
94,Massea,どうしますか
94,Massea,話を聞く
94,Massea,錬石について
94,Massea,錬石をつくる
94,Massea,何もない
95,Massea,アドルさん。
95,Massea,もうフォレスタ村には
95,Massea,いかれたのですか
95,Massea,フォレスタ村[WHITE]は
95,Massea,メルセゲラの森の先です。
96,Massea,錬金魔法について
96,Massea,錬金魔法は[YELLOW]『錬石』[WHITE]を剣にセットして使用します。
96,Massea,錬石をセットするには、メニューから錬石を選択して
96,Massea,セットしたい錬石を選んでください。
96,Massea,錬石をセットすると、
96,Massea,画面下に錬石アイコンが表示されます。
96,Massea,錬石アイコンに色がついていないときは
96,Massea,錬金魔法のエネルギーがチャージされて
96,Massea,いない状態で、魔法が撃てません。
96,Massea,錬金魔法のエネルギーは自動でチャージされ、
96,Massea,錬石アイコンは時間の経過とともに
96,Massea,色がついていきます。
96,Massea,敵を攻撃したり、敵を倒したりすると
96,Massea,錬石アイコンに色がつくまでの
96,Massea,時間が短くなります。
96,Massea,錬石アイコンに色がついているときは、
96,Massea,[RED]
96,Massea,[WHITE]ボタンで魔法を撃つことができます。
96,Massea,複数の錬石がセットされている場合は、
96,Massea,色のついている分だけ
96,Massea,連続で魔法を撃つことができます。
96,Massea,同じ種類の錬石が
96,Massea,つ以上連続して
96,Massea,セットされていると、
96,Massea,錬石複数個分のエネルギーを同時に使って
96,Massea,より強力な魔法を撃つことができます。
96,Massea,同じ種類の錬石は
96,Massea,つまで連続で
96,Massea,セットすることができます。
96,Massea,錬石はマーシャに作成を依頼することで
96,Massea,手に入りますが、作成には材料が必要です。
96,Massea,敵を倒すと、たまに[YELLOW]『エレメンタル』[WHITE]を
96,Massea,落とすことがあります。
96,Massea,エレメンタルのうち、色のついたものが
96,Massea,錬石の材料となります。
96,Massea,エレメンタルを集めたら、
96,Massea,マーシャに作成を依頼します。
96,Massea,作成したい錬石を選択すると、
96,Massea,画面中央右側に、作成後のエレメンタルの数が
96,Massea,表示されます。
96,Massea,赤い数字はその錬石を作成するのに
96,Massea,足りないエレメンタルの数です。
96,Massea,必要なエレメンタルがすべて足りていると、
96,Massea,錬石を作成することができます。
96,Massea,敵の弱点を突く魔法や、
96,Massea,組み合わせやすい魔法、
96,Massea,剣攻撃との連携などを考えて、
96,Massea,魔法をうまく活用してください。
97,Massea,わかったわ。
97,Massea,錬石ね。
100,Massea,また錬石が欲しくなったらいらっしゃい。
101,Massea,また錬石が欲しくなったらいらっしゃい。
102,Massea,あ、アドルさん。ネード洞窟で、
102,Massea,ニーナという女の子を助けてくれたそうですね
102,Massea,本当にありがとう。
102,Massea,私からもお礼を言わせてください。
102,Massea,え
102,Massea,どうしてニーナを知っているかですって
102,Massea,じつは、スタンがここを訪れたとき、
102,Massea,「自分に何かあったときは、ニーナのことをよろしく」
102,Massea,と頼まれていたんです。
102,Massea,それでサンドリアに行くときは、
102,Massea,いつもあの子の様子を見るように
102,Massea,なって
102,Massea,。
102,Massea,今では一緒にお料理をしたり、
102,Massea,買い物に行ったりするんです。
102,Massea,あらためてお礼を言わせてください。
102,Massea,アドルさん。本当にありがとう。
102,Massea,ニーナに何かあったら、私はスタンに
102,Massea,申し訳がたちませんから
102,Massea,。
102,Massea,そうだ、これを差し上げましょう。
102,Massea,これを使えば、
102,Massea,ここまで一瞬で戻ってくることができます。
102,Massea,ただ、これは使える場所が
102,Massea,限られているので気をつけて下さい。
104,Massea,ニーナに何かあったら、私はスタンに
104,Massea,申し訳がたちませんから
104,Massea,。
105,Massea,[BLUE]扉には鍵がかかっていて、中には入れない
105,Massea,。[WHITE]
109,Massea,ウッホン。
109,Massea,私は
109,Massea,マヴァール[WHITE]。失われた奇跡の技、
109,Massea,ケフィンより伝えられし錬金術を使うもの。
109,Massea,おまえもこの世のあらゆる不幸をはらい、
109,Massea,持ち主に幸せと富をもたらす錬金術の奇跡、
109,Massea,錬石がほしいのか
109,Massea,ウッホン
109,Massea,　あー、本来ならば錬石は
109,Massea,錬金術師にのみ持つことを許されたもの。
109,Massea,ほかの者にゆずってはならんのだが
109,Massea,。
109,Massea,まー、そこはそれ。なんだな、
